sample,noise_level,gt_x,gt_y,ai_x,ai_y,ai_probability,ai_error,baseline_x,baseline_y,baseline_error,improvement
sample_021,clean,640.4,721.9,639.0,722.0,0.8515407170312295,1.4035668847617988,639.0,722.0,1.4035668847617988,0.0
sample_022,clean,578.3,882.0,577.0,882.0,0.9982396393964619,1.2999999999999545,577.0,882.0,1.2999999999999545,0.0
sample_023,clean,670.9,337.1,692.0,337.0,0.7249557555521914,21.100236965494034,692.0,337.0,21.100236965494034,0.0
sample_024,clean,695.3,283.5,695.0,284.0,0.854781933027031,0.5830951894845067,695.0,284.0,0.5830951894845067,0.0
sample_025,clean,439.7,875.5,438.0,876.0,0.713249128614535,1.772004514666924,438.0,876.0,1.772004514666924,0.0
sample_026,clean,255.8,134.0,256.0,91.0,0.8593086419753087,43.000465113763596,256.0,91.0,43.000465113763596,0.0
sample_027,clean,876.7,234.7,876.0,235.0,0.9641945987654321,0.7615773105864371,876.0,235.0,0.7615773105864371,0.0
sample_028,clean,252.4,838.7,251.0,839.0,0.8306614165441795,1.4317821063276315,251.0,839.0,1.4317821063276315,0.0
sample_029,clean,857.1,688.0,856.0,688.0,0.9639227043453049,1.1000000000000227,856.0,688.0,1.1000000000000227,0.0
sample_030,clean,767.7,590.7,767.0,591.0,0.9182108572016981,0.7615773105864148,767.0,591.0,0.7615773105864148,0.0
sample_021,high,640.4,721.9,639.0,722.0,0.8472039288100598,1.4035668847617988,639.0,722.0,1.4035668847617988,0.0
sample_022,high,578.3,882.0,577.0,882.0,0.9734469430883275,1.2999999999999545,577.0,882.0,1.2999999999999545,0.0
sample_023,high,670.9,337.1,692.0,337.0,0.7504050202492152,21.100236965494034,692.0,337.0,21.100236965494034,0.0
sample_024,high,695.3,283.5,695.0,284.0,0.7501448410149648,0.5830951894845067,695.0,284.0,0.5830951894845067,0.0
sample_025,high,439.7,875.5,438.0,876.0,0.5567203418470361,1.772004514666924,438.0,876.0,1.772004514666924,0.0
sample_026,high,255.8,134.0,256.0,91.0,0.7774720750364017,43.000465113763596,256.0,91.0,43.000465113763596,0.0
sample_027,high,876.7,234.7,876.0,235.0,0.9599072337853541,0.7615773105864371,876.0,235.0,0.7615773105864371,0.0
sample_028,high,252.4,838.7,251.0,839.0,0.8617781406555514,1.4317821063276315,251.0,839.0,1.4317821063276315,0.0
sample_029,high,857.1,688.0,856.0,688.0,0.9755534626663659,1.1000000000000227,856.0,688.0,1.1000000000000227,0.0
sample_030,high,767.7,590.7,767.0,591.0,0.8931373232788548,0.7615773105864148,767.0,591.0,0.7615773105864148,0.0
sample_021,low,640.4,721.9,639.0,722.0,0.8512073836978961,1.4035668847617988,639.0,722.0,1.4035668847617988,0.0
sample_022,low,578.3,882.0,577.0,882.0,0.9982853079463677,1.2999999999999545,577.0,882.0,1.2999999999999545,0.0
sample_023,low,670.9,337.1,692.0,337.0,0.7155668666633025,21.100236965494034,692.0,337.0,21.100236965494034,0.0
sample_024,low,695.3,283.5,695.0,284.0,0.8581152663603643,0.5830951894845067,695.0,284.0,0.5830951894845067,0.0
sample_025,low,439.7,875.5,438.0,876.0,0.7175844460748525,1.772004514666924,438.0,876.0,1.772004514666924,0.0
sample_026,low,255.8,134.0,256.0,134.0,0.9566666666666667,0.19999999999998863,256.0,134.0,0.19999999999998863,0.0
sample_027,low,876.7,234.7,876.0,235.0,0.9669471240179573,0.7615773105864371,876.0,235.0,0.7615773105864371,0.0
sample_028,low,252.4,838.7,251.0,839.0,0.8286874424430836,1.4317821063276315,251.0,839.0,1.4317821063276315,0.0
sample_029,low,857.1,688.0,856.0,688.0,0.9648980035558983,1.1000000000000227,856.0,688.0,1.1000000000000227,0.0
sample_030,low,767.7,590.7,767.0,591.0,0.9045139318503611,0.7615773105864148,767.0,591.0,0.7615773105864148,0.0
sample_021,medium,640.4,721.9,639.0,722.0,0.8522177622082746,1.4035668847617988,639.0,722.0,1.4035668847617988,0.0
sample_022,medium,578.3,882.0,577.0,882.0,0.9978969396674037,1.2999999999999545,577.0,882.0,1.2999999999999545,0.0
sample_023,medium,670.9,337.1,649.0,337.0,0.7295273233606013,21.900228309312187,649.0,337.0,21.900228309312187,0.0
sample_024,medium,695.3,283.5,695.0,284.0,0.7764042325493563,0.5830951894845067,695.0,284.0,0.5830951894845067,0.0
sample_025,medium,439.7,875.5,438.0,876.0,0.7387566138623455,1.772004514666924,438.0,876.0,1.772004514666924,0.0
sample_026,medium,255.8,134.0,256.0,134.0,0.9478538455639905,0.19999999999998863,256.0,134.0,0.19999999999998863,0.0
sample_027,medium,876.7,234.7,876.0,235.0,0.9564071817439979,0.7615773105864371,876.0,235.0,0.7615773105864371,0.0
sample_028,medium,252.4,838.7,251.0,839.0,0.8590732375183575,1.4317821063276315,251.0,839.0,1.4317821063276315,0.0
sample_029,medium,857.1,688.0,856.0,688.0,0.9650038236617183,1.1000000000000227,856.0,688.0,1.1000000000000227,0.0
sample_030,medium,767.7,590.7,767.0,591.0,0.8592093012082421,0.7615773105864148,767.0,591.0,0.7615773105864148,0.0
