sample,noise_level,gt_x,gt_y,ai_x,ai_y,baseline_x,baseline_y,ai_rank,baseline_rank,ai_probability,ai_error,baseline_error,improvement,status
sample_001,clean,279.0,433.1,278.0,433.0,278.0,433.0,1,1,0.99954853700481,1.0049875621120912,1.0049875621120912,0.0,equal
sample_001,high,279.0,433.1,278.0,433.0,278.0,433.0,1,1,0.9994543023269339,1.0049875621120912,1.0049875621120912,0.0,equal
sample_001,low,279.0,433.1,278.0,433.0,278.0,433.0,1,1,0.99954853700481,1.0049875621120912,1.0049875621120912,0.0,equal
sample_001,medium,279.0,433.1,278.0,433.0,278.0,433.0,1,1,0.9996507749900733,1.0049875621120912,1.0049875621120912,0.0,equal
sample_002,clean,288.4,438.1,288.0,438.0,288.0,438.0,1,1,0.9998941848338507,0.4123105625617495,0.4123105625617495,0.0,equal
sample_002,high,288.4,438.1,288.0,438.0,288.0,438.0,1,1,0.9999031620262301,0.4123105625617495,0.4123105625617495,0.0,equal
sample_002,low,288.4,438.1,288.0,438.0,288.0,438.0,1,1,0.9995873666520326,0.4123105625617495,0.4123105625617495,0.0,equal
sample_002,medium,288.4,438.1,288.0,438.0,288.0,438.0,1,1,0.9998988037714951,0.4123105625617495,0.4123105625617495,0.0,equal
sample_003,clean,149.2,544.8,148.0,545.0,148.0,545.0,1,1,0.9998941848338507,1.2165525060596403,1.2165525060596403,0.0,equal
sample_003,high,149.2,544.8,148.0,545.0,148.0,545.0,1,1,0.9999023311083557,1.2165525060596403,1.2165525060596403,0.0,equal
sample_003,low,149.2,544.8,148.0,545.0,148.0,545.0,1,1,0.9998941848338507,1.2165525060596403,1.2165525060596403,0.0,equal
sample_003,medium,149.2,544.8,148.0,545.0,148.0,545.0,1,1,0.9997935406136004,1.2165525060596403,1.2165525060596403,0.0,equal
sample_004,clean,223.7,669.3,223.0,669.0,223.0,669.0,1,1,0.9518123380464012,0.7615773105863625,0.7615773105863625,0.0,equal
sample_004,high,223.7,669.3,223.0,669.0,223.0,669.0,1,1,0.9893940833367579,0.7615773105863625,0.7615773105863625,0.0,equal
sample_004,low,223.7,669.3,223.0,669.0,223.0,669.0,1,1,0.969479158279419,0.7615773105863625,0.7615773105863625,0.0,equal
sample_004,medium,223.7,669.3,223.0,669.0,223.0,669.0,1,1,0.9679969919662956,0.7615773105863625,0.7615773105863625,0.0,equal
sample_005,clean,690.1,56.9,690.0,57.0,690.0,57.0,1,1,0.9995986371950434,0.1414213562373266,0.1414213562373266,0.0,equal
sample_005,high,690.1,56.9,690.0,57.0,690.0,57.0,1,1,0.9977192661917025,0.1414213562373266,0.1414213562373266,0.0,equal
sample_005,low,690.1,56.9,690.0,57.0,690.0,57.0,1,1,0.9995986371950434,0.1414213562373266,0.1414213562373266,0.0,equal
sample_005,medium,690.1,56.9,690.0,57.0,690.0,57.0,1,1,0.9995986371950434,0.1414213562373266,0.1414213562373266,0.0,equal
sample_006,clean,515.3,903.8,514.0,904.0,514.0,904.0,1,1,0.9997976056130382,1.3152946437965525,1.3152946437965525,0.0,equal
sample_006,high,515.3,903.8,514.0,904.0,514.0,904.0,1,1,0.9998496689331237,1.3152946437965525,1.3152946437965525,0.0,equal
sample_006,low,515.3,903.8,514.0,904.0,514.0,904.0,1,1,0.9994339692494018,1.3152946437965525,1.3152946437965525,0.0,equal
sample_006,medium,515.3,903.8,514.0,904.0,514.0,904.0,1,1,0.9994133536445342,1.3152946437965525,1.3152946437965525,0.0,equal
sample_007,clean,300.1,162.7,300.0,163.0,300.0,163.0,1,1,0.9997053256404678,0.3162277660168559,0.3162277660168559,0.0,equal
sample_007,high,300.1,162.7,300.0,163.0,300.0,163.0,1,1,0.9998519334534341,0.3162277660168559,0.3162277660168559,0.0,equal
sample_007,low,300.1,162.7,300.0,163.0,300.0,163.0,1,1,0.9991148494499915,0.3162277660168559,0.3162277660168559,0.0,equal
sample_007,medium,300.1,162.7,300.0,163.0,300.0,163.0,1,1,0.9998484061165736,0.3162277660168559,0.3162277660168559,0.0,equal
sample_008,clean,586.9,289.5,586.0,289.0,586.0,289.0,1,1,0.9994676761473961,1.0295630140986802,1.0295630140986802,0.0,equal
sample_008,high,586.9,289.5,586.0,289.0,586.0,289.0,1,1,0.9998462097163007,1.0295630140986802,1.0295630140986802,0.0,equal
sample_008,low,586.9,289.5,586.0,289.0,586.0,289.0,1,1,0.9998426761473961,1.0295630140986802,1.0295630140986802,0.0,equal
sample_008,medium,586.9,289.5,586.0,289.0,586.0,289.0,1,1,0.9998426761473961,1.0295630140986802,1.0295630140986802,0.0,equal
sample_009,clean,707.9,706.5,779.0,716.0,779.0,716.0,1,1,0.23485630857573275,71.73186181885985,71.73186181885985,0.0,equal
sample_009,high,707.9,706.5,779.0,716.0,779.0,716.0,1,1,0.24942940797306629,71.73186181885985,71.73186181885985,0.0,equal
sample_009,low,707.9,706.5,779.0,716.0,779.0,716.0,1,1,0.23998298482152125,71.73186181885985,71.73186181885985,0.0,equal
