noise_level,sample,gt_x,gt_y,pred_x,pred_y,error,score,runtime_sec
high,sample_013,493.7,823.7,718.0,236.0,629.0483129299371,0.84898442029953,0.0718101999955251
clean,sample_013,493.7,823.7,341.0,824.0,152.70029469519696,0.8793200254440308,0.1641670000099111
medium,sample_013,493.7,823.7,341.0,824.0,152.70029469519696,0.8688498139381409,0.0987183000106597
low,sample_013,493.7,823.7,341.0,824.0,152.70029469519696,0.8770153522491455,0.1038587000075494
medium,sample_009,707.9,706.5,779.0,716.0,71.73186181885985,0.9189658164978028,0.0809164999955101
high,sample_009,707.9,706.5,779.0,716.0,71.73186181885985,0.905601978302002,0.1284908999950857
low,sample_009,707.9,706.5,779.0,716.0,71.73186181885985,0.9250007271766664,0.101709499998833
clean,sample_009,707.9,706.5,779.0,716.0,71.73186181885985,0.9263994097709656,0.1036220999958459
clean,sample_026,255.8,134.0,256.0,91.0,43.0004651137636,0.8920596837997437,0.0921500999975251
high,sample_026,255.8,134.0,256.0,91.0,43.0004651137636,0.8602523803710938,0.0875533999933395
