noise_level,sample,gt_x,gt_y,pred_x,pred_y,error,score,runtime_sec
clean,sample_001,279.0,433.1,278.0,433.0,1.0049875621120912,0.9074140787124634,0.09389910000027157
clean,sample_002,288.4,438.1,288.0,438.0,0.4123105625617495,0.9064276218414307,0.08007129999168683
clean,sample_003,149.2,544.8,148.0,545.0,1.2165525060596403,0.9368916153907776,0.07912989999749698
clean,sample_004,223.7,669.3,223.0,669.0,0.7615773105863625,0.9280127286911011,0.08003349999489728
clean,sample_005,690.1,56.9,690.0,57.0,0.1414213562373266,0.8895329833030701,0.16353170000365935
clean,sample_006,515.3,903.8,514.0,904.0,1.3152946437965525,0.9270864129066467,0.08962729999620933
clean,sample_007,300.1,162.7,300.0,163.0,0.3162277660168559,0.9352273941040039,0.1599768000014592
clean,sample_008,586.9,289.5,586.0,289.0,1.0295630140986802,0.8819860816001892,0.10599660000298172
clean,sample_009,707.9,706.5,779.0,716.0,71.73186181885985,0.9263994097709656,0.10362209999584593
clean,sample_010,807.6,598.1,807.0,598.0,0.6082762530298481,0.9170948266983032,0.09478940001281444
clean,sample_011,950.0,557.5,949.0,558.0,1.118033988749895,0.8824501633644104,0.11045320000266656
clean,sample_012,550.7,272.0,550.0,272.0,0.7000000000000455,0.8938208222389221,0.10647420000168495
clean,sample_013,493.7,823.7,341.0,824.0,152.70029469519696,0.8793200254440308,0.16416700000991113
clean,sample_014,548.6,151.1,548.0,151.0,0.6082762530298435,0.9325800538063049,0.15406319999601692
clean,sample_015,130.1,545.9,129.0,546.0,1.1045361017187225,0.9363717436790466,0.10237649999908172
clean,sample_016,130.1,545.9,129.0,546.0,1.1045361017187225,0.9363717436790466,0.10709409999253694
clean,sample_017,543.6,571.6,543.0,572.0,0.7211102550928041,0.8317611813545227,0.0895143000088865
clean,sample_018,290.2,422.7,290.0,423.0,0.36055512754640207,0.9182989001274109,0.09178990000509657
clean,sample_019,715.6,838.9,714.0,839.0,1.6031219541881638,0.9102736711502075,0.08567790000233799
clean,sample_020,883.0,880.6,882.0,881.0,1.0770329614268923,0.8709844946861267,0.07986630000232253
clean,sample_021,640.4,721.9,639.0,722.0,1.4035668847617988,0.9534316658973694,0.09736519999569282
clean,sample_022,578.3,882.0,577.0,882.0,1.2999999999999545,0.9256228804588318,0.09667449998960365
clean,sample_023,670.9,337.1,692.0,337.0,21.100236965494034,0.9062320590019226,0.0859848999971291
clean,sample_024,695.3,283.5,695.0,284.0,0.5830951894845067,0.892265796661377,0.10286590000032447
