sample,pred_x,pred_y,gt_x,gt_y,error,runtime_ms
sample_001,278.0000,433.0000,279.0000,433.1000,1.0050,632.5557
sample_002,288.0000,438.0000,288.4000,438.1000,0.4123,458.6687
sample_003,148.0000,545.0000,149.2000,544.8000,1.2166,469.8587
sample_004,223.0000,669.0000,223.7000,669.3000,0.7616,447.4659
sample_005,690.0000,57.0000,690.1000,56.9000,0.1414,436.4470
sample_006,514.0000,904.0000,515.3000,903.8000,1.3153,413.1858
sample_007,300.0000,163.0000,300.1000,162.7000,0.3162,438.3594
sample_008,586.0000,289.0000,586.9000,289.5000,1.0296,425.4512
sample_009,779.0000,716.0000,707.9000,706.5000,71.7319,441.2044
sample_010,807.0000,598.0000,807.6000,598.1000,0.6083,437.2131
sample_011,949.0000,558.0000,950.0000,557.5000,1.1180,426.1081
sample_012,550.0000,272.0000,550.7000,272.0000,0.7000,447.7452
sample_013,341.0000,824.0000,493.7000,823.7000,152.7003,404.9722
sample_014,548.0000,151.0000,548.6000,151.1000,0.6083,481.6848
sample_015,129.0000,546.0000,130.1000,545.9000,1.1045,432.1271
sample_016,129.0000,546.0000,130.1000,545.9000,1.1045,418.5271
sample_017,543.0000,572.0000,543.6000,571.6000,0.7211,491.8393
sample_018,290.0000,423.0000,290.2000,422.7000,0.3606,446.2701
sample_019,714.0000,839.0000,715.6000,838.9000,1.6031,530.5265
sample_020,882.0000,881.0000,883.0000,880.6000,1.0770,471.8639
sample_021,639.0000,722.0000,640.4000,721.9000,1.4036,471.9535
sample_022,577.0000,882.0000,578.3000,882.0000,1.3000,473.0111
sample_023,692.0000,337.0000,670.9000,337.1000,21.1002,443.3392
sample_024,695.0000,284.0000,695.3000,283.5000,0.5831,442.9797
sample_025,438.0000,876.0000,439.7000,875.5000,1.7720,416.6272
sample_026,256.0000,91.0000,255.8000,134.0000,43.0005,420.7905
sample_027,876.0000,235.0000,876.7000,234.7000,0.7616,420.2728
sample_028,251.0000,839.0000,252.4000,838.7000,1.4318,432.6541
sample_029,856.0000,688.0000,857.1000,688.0000,1.1000,431.1799
sample_030,767.0000,591.0000,767.7000,590.7000,0.7616,445.5343
